Sealed Status,Length,Segment Name
false,18,_system/_tables/_system/_MARK_kvTableStream/epochsWithTransactions.#.808da25c-dc93-48f0-9c22-acd1fd9e0ea9
false,745,_system/_tables/_system/_MARK_kvTableStream/metadata.#.808da25c-dc93-48f0-9c22-acd1fd9e0ea9
false,18,_system/_tables/_system/_commitStream/epochsWithTransactions.#.eb831ce1-6d79-499f-b284-c81aa2c14f25
false,819,_system/_tables/_system/_commitStream/metadata.#.eb831ce1-6d79-499f-b284-c81aa2c14f25
false,745,_system/_tables/_system/_RGkvtStreamReaders/metadata.#.9902bd94-6181-4ea2-970e-f55e9a54482b
false,18,_system/_tables/_system/_RGkvtStreamReaders/epochsWithTransactions.#.9902bd94-6181-4ea2-970e-f55e9a54482b
false,744,_system/_tables/_system/_MARK_commitStream/metadata.#.46d8bc4c-9da1-45b5-8e2e-12efd834fbd8
false,18,_system/_tables/_system/_MARK_commitStream/epochsWithTransactions.#.46d8bc4c-9da1-45b5-8e2e-12efd834fbd8
false,18,_system/_tables/_system/_abortStream/epochsWithTransactions.#.98cffcdb-58b7-46b4-8448-ec3ab34ac458
false,818,_system/_tables/_system/_abortStream/metadata.#.98cffcdb-58b7-46b4-8448-ec3ab34ac458
false,18,_system/_tables/_system/_RGcommitStreamReaders/epochsWithTransactions.#.55fab66a-c9f9-4d82-b62f-06ef789b1997
false,748,_system/_tables/_system/_RGcommitStreamReaders/metadata.#.55fab66a-c9f9-4d82-b62f-06ef789b1997
false,824,_system/_tables/_system/streamsInScope.#.ba003a6b-30d3-40b9-b5db-a0e5c50c672a
false,18,_system/_tables/_system/_MARK_RGabortStreamReaders/epochsWithTransactions.#.5ddc4925-7d4e-4d67-84e4-27f8f0e13ac2
false,752,_system/_tables/_system/_MARK_RGabortStreamReaders/metadata.#.5ddc4925-7d4e-4d67-84e4-27f8f0e13ac2
false,820,_system/_tables/_system/_requeststream/metadata.#.d1b35553-f159-484c-95cb-e0afd7729def
false,18,_system/_tables/_system/_requeststream/epochsWithTransactions.#.d1b35553-f159-484c-95cb-e0afd7729def
false,739,_system/_tables/_system/_RGscaleGroup/metadata.#.0ff02c63-8530-4bea-a0e9-0988359d91f1
false,18,_system/_tables/_system/_RGscaleGroup/epochsWithTransactions.#.0ff02c63-8530-4bea-a0e9-0988359d91f1
false,744,_system/_tables/_system/_MARK_RGscaleGroup/metadata.#.ea775395-cfb2-412e-bab6-6638bdf3a91c
false,18,_system/_tables/_system/_MARK_RGscaleGroup/epochsWithTransactions.#.ea775395-cfb2-412e-bab6-6638bdf3a91c
false,18,_system/_tables/_system/_RGabortStreamReaders/epochsWithTransactions.#.f9da7aaf-5ca6-41c0-844a-658a7367430c
false,747,_system/_tables/_system/_RGabortStreamReaders/metadata.#.f9da7aaf-5ca6-41c0-844a-658a7367430c
false,18,_system/_tables/_system/_MARK_abortStream/epochsWithTransactions.#.39e7176b-5a22-4d9d-9522-735d762b3924
false,743,_system/_tables/_system/_MARK_abortStream/metadata.#.39e7176b-5a22-4d9d-9522-735d762b3924
false,18,_system/_tables/_system/_kvTableStream/epochsWithTransactions.#.bc0a2736-4ab0-4156-a43c-879b1e97b82c
false,1060,_system/_tables/_system/_kvTableStream/metadata.#.bc0a2736-4ab0-4156-a43c-879b1e97b82c
false,745,_system/_tables/_system/_MARK_requeststream/metadata.#.9af80afa-402b-4d64-85e6-c9152b1fb648
false,18,_system/_tables/_system/_MARK_requeststream/epochsWithTransactions.#.9af80afa-402b-4d64-85e6-c9152b1fb648
false,750,_system/_tables/_system/_MARK_RGkvtStreamReaders/metadata.#.28e96598-939a-46a1-90be-6bb24d4327fc
false,18,_system/_tables/_system/_MARK_RGkvtStreamReaders/epochsWithTransactions.#.28e96598-939a-46a1-90be-6bb24d4327fc
false,753,_system/_tables/_system/_MARK_RGcommitStreamReaders/metadata.#.6102124a-fbc9-414d-8807-ca345bf20676
false,18,_system/_tables/_system/_MARK_RGcommitStreamReaders/epochsWithTransactions.#.6102124a-fbc9-414d-8807-ca345bf20676
false,82,_system/_tables/scopes
false,756,_system/_tables/testScope/_MARKtestListSegmentsCommand/metadata.#.a8493828-c099-4976-b446-4e35ff575b19
false,18,_system/_tables/testScope/_MARKtestListSegmentsCommand/epochsWithTransactions.#.a8493828-c099-4976-b446-4e35ff575b19
false,117,_system/_tables/testScope/streamsInScope.#.54863051-a0b6-4bbd-93d9-9e94b2b56682
false,18,_system/_tables/testScope/testListSegmentsCommand/epochsWithTransactions.#.c763fad3-1098-46ee-944e-620301f5e733
false,751,_system/_tables/testScope/testListSegmentsCommand/metadata.#.c763fad3-1098-46ee-944e-620301f5e733
false,1958,_system/_RGkvtStreamReaders/0.#epoch.0
false,1026,_system/_RGcommitStreamReaders/0.#epoch.0
false,1044,_system/_RGscaleGroup/0.#epoch.0
false,1008,_system/_RGabortStreamReaders/0.#epoch.0
false,65926,_system/containers/metadata_0
false,130,testScope/testListSegmentsCommand/0.#epoch.0
